,Country,IDH,PIB PC,Host,Total atletas,Hombres participantes,Mujeres participantes,Gobierno,Paridad,Poblacion,Population,Oro,Plata,Bronce,Medals
1,GER,0.839,30485.87,0,465,278,187,0,0.4,81914831,81.915,20,18,27,65
2,AUS,0.886,21861.33,0,417,250,167,0,0.4,18311000,18.311,9,9,23,41
3,BRA,0.656,5166.16,0,221,156,65,0,0.29,164614688,164.615,3,3,9,15
4,CAN,0.863,21227.35,0,303,152,151,0,0.5,29610218,29.61,3,11,8,22
5,CHN,0.559,709.41,0,294,111,183,1,0.62,1217550000,1217.55,16,22,12,50
6,PRK,0.6,479,0,24,15,9,1,0.38,22113438,22.113,2,1,2,5
7,KOR,0.789,13137.91,0,300,189,111,0,0.37,45524681,45.525,7,15,5,27
8,CUB,0.665,2286.93,0,164,111,53,1,0.32,10939293,10.939,9,8,8,25
9,USA,0.879,29967.71,1,646,375,271,0,0.42,269394000,269.394,44,32,25,101
10,ESP,0.806,16109.08,0,289,194,95,0,0.33,39889852,39.89,5,6,6,17
11,ETH,0.283,145.17,0,18,10,8,0,0.44,58883530,58.884,2,0,1,3
12,FRA,0.83,26871.83,0,299,197,102,0,0.34,59753100,59.753,15,7,15,37
13,GBR,0.844,24332.7,0,300,184,116,0,0.39,58166950,58.167,1,8,6,15
14,GRE,0.772,13749.12,0,121,87,34,0,0.28,10608800,10.609,4,4,0,8
15,HUN,0.746,4525.04,0,212,135,77,0,0.36,10311238,10.311,7,4,10,21
16,IND ,0.467,399.95,0,49,40,9,0,0.18,982365243,982.365,0,0,1,1
17,INA,0.577,1137.41,0,40,23,17,0,0.43,199901228,199.901,1,1,2,4
18,IRI,0.647,1932.8,0,18,17,1,0,0.06,62294920,62.295,1,1,1,3
19,ITA,0.806,23081.6,0,340,236,104,0,0.31,56860281,56.86,13,10,12,35
20,JAM,0.66,2879.66,0,46,27,19,0,0.41,2558637,2.559,1,3,2,6
21,JPN,0.845,38436.93,0,306,157,149,0,0.49,125757000,125.757,3,6,5,14
22,KEN,0.455,421.34,0,52,42,10,0,0.19,28589451,28.589,1,4,3,8
23,MEX,0.677,4412.12,0,97,70,27,0,0.28,93147044,93.147,0,0,1,1
24,NOR,0.888,37321.97,0,97,42,55,0,0.57,4381336,4.381,2,2,3,7
25,NZL,0.854,18794.44,0,95,66,29,0,0.31,3732000,3.732,3,2,1,6
26,NED,0.866,29006.81,0,239,137,102,0,0.43,15530498,15.53,4,5,10,19
27,POL,0.748,4140.98,0,165,126,39,0,0.24,38624370,38.624,7,5,5,17
28,ROU,0.695,1633.01,0,165,98,67,0,0.41,22619004,22.619,4,7,9,20
29,RUS,0.701,2643.93,0,390,232,158,1,0.41,148160042,148.16,26,21,16,63
30,THA,0.619,3043.98,0,37,25,12,0,0.32,59423282,59.423,1,0,1,2
31,TUR,0.615,3053.95,0,53,44,9,0,0.17,59423282,59.423,4,1,1,6
